Hora de Ejecucion,Escenario,Estado,Duracion (s),Infraestructura,Mensaje de Error
2026-03-28 13:28:06,Crear un post exitosamente,passed,6.87,Windows 11 | Chrome 146.0.7680.165,
2026-03-28 13:28:08,Solicitud de demo exitosa,failed,2.47,Windows 11 | Chrome 146.0.7680.165,
2026-03-28 13:28:10,Solicitud de demo repetida,failed,1.73,Windows 11 | Chrome 146.0.7680.165,
2026-03-28 13:28:11,Validacion de campos obligatorios al dejar el nombre vacio,failed,1.39,Windows 11 | Chrome 146.0.7680.165,
2026-03-28 13:28:13,Validacion de formato de email incorrecto,failed,1.49,Windows 11 | Chrome 146.0.7680.165,
2026-03-28 13:28:14,Login exitoso,passed,0.99,Windows 11 | Chrome 146.0.7680.165,
2026-03-28 13:28:35,Login fallido con credenciales incorrectas,failed,21.18,Windows 11 | Chrome 146.0.7680.165,
2026-03-28 13:28:36,Login exitoso con credenciales del CSV,passed,1.18,Windows 11 | Chrome 146.0.7680.165,
2026-03-28 13:28:57,Login fallido con datos de CSV -- @1.1 ,failed,21.02,Windows 11 | Chrome 146.0.7680.165,
2026-03-28 13:29:18,Login fallido con datos de CSV -- @1.2 ,failed,20.89,Windows 11 | Chrome 146.0.7680.165,
2026-03-28 13:29:39,Login fallido con datos de CSV -- @1.3 ,failed,20.91,Windows 11 | Chrome 146.0.7680.165,
2026-03-28 13:30:00,Registro de usuario desde CSV -- @1.1 ,failed,21.26,Windows 11 | Chrome 146.0.7680.165,
2026-03-28 13:30:02,Registro de usuario desde CSV -- @1.2 ,passed,1.49,Windows 11 | Chrome 146.0.7680.165,
2026-03-28 13:30:03,Registro de usuario desde CSV -- @1.3 ,failed,1.65,Windows 11 | Chrome 146.0.7680.165,
